tr_01,pxr_01,pyr_01,pzr_01,pxdr_01,pydr_01,pzdr_01,q1r_01,tau0_01,tau1_01,tau2_01,vel1_01,vel2_01,vel3_01,veld1_01,veld2_01,veld3_01,Hpred0,Etiqueta
0.117,0.004643845,-0.08667432,-0.005353655,0,0,0,0,0,0,0,-0.01222634,0.0,-0.0003268625,0,0,0,0.0009075937773986,Ejercicio 1
0.118,0.004502327,-0.08665741,-0.005409039,0,0,0,0,0,0,0,-0.0123045,6.284474e-05,-0.0005107012,0,0,0,0.0009189836193525,Ejercicio 1
0.119,0.004432194,-0.0866404799999999,-0.005462493,0,0,0,0,0,0,0,-0.0123121,0.0004166125,-0.001584179,0,0,0,0.0009189836193525,Ejercicio 1
0.12,0.004289249,-0.0866404799999999,-0.0054660789999999,0,0,0,0,0,0,0,-0.0108652,3.456591e-06,-0.0002786587,0,0,0,0.0009194821016073,Ejercicio 1
0.121,0.00422028,-0.08660656,-0.005571045,0,0,0,0,0,0,0,-0.003441293,0.002159732,-0.006650102,0,0,0,0.0009195031554973,Ejercicio 1
0.122,0.004077247,-0.08660656,-0.005574457,0,0,0,0,0,0,0,-0.002678335,9.458832e-06,-9.154593e-05,0,0,0,0.0009195031554973,Ejercicio 1
0.123,0.004078456,-0.0865895699999999,-0.005626056,0,0,0,0,0,0,0,-3.063523e-05,0.0001614537,-0.0004909305,0,0,0,0.0009303812745926,Ejercicio 1
0.124,0.004006917,-0.0865895699999999,-0.005627718,0,0,0,0,0,0,0,-0.002398498,7.071079e-07,-5.738724e-05,0,0,0,0.0009318680277714,Ejercicio 1
0.125,0.003864983,-0.0865725599999999,-0.005682549,0,0,0,0,0,0,0,-0.006983999,0.001559345,-0.004883035,0,0,0,0.0009392902393465,Ejercicio 1
0.126,0.003650294,-0.0865725599999999,-0.005687184,0,0,0,0,0,0,0,-0.01646007,2.450958e-05,-0.0004195481,0,0,0,0.0009392902393465,Ejercicio 1
0.127,0.0033648989999999,-0.08650154,-0.005737712,0,0,0,0,0,0,0,-0.0216121799999999,0.008583653,-0.00582826,0,0,0,0.0009392902393465,Ejercicio 1
0.128,0.003079468,-0.08648449,-0.005794596,0,0,0,0,0,0,0,-0.01676535,0.0001720588,-0.0007821604,0,0,0,0.0009392902393465,Ejercicio 1
0.129,0.00293712,-0.08646741,-0.005848648,0,0,0,0,0,0,0,-0.003432197,0.0003115863,-0.0009980908,0,0,0,0.0009480053576886,Ejercicio 1
0.13,0.002794686,-0.08645031,-0.005902576,0,0,0,0,0,0,0,-0.002768383,0.0002316431,-0.0007428272999999,0,0,0,0.0009794660257381,Ejercicio 1
0.131,0.002794686,-0.08645031,-0.005902576,0,0,0,0,0,0,0,-4.351306e-05,3.640934e-06,-1.167566e-05,0,0,0,0.0009827029599707,Ejercicio 1
0.132,0.002794686,-0.08645031,-0.005902576,0,0,0,0,0,0,0,-6.839324e-07,5.722752e-08,-1.835164e-07,0,0,0,0.0009827029599707,Ejercicio 1
0.133,0.002723033,-0.08645031,-0.00590371,0,0,0,0,0,0,0,-0.0005090696999999,6.535209e-10,-7.957116000000001e-06,0,0,0,0.0009822902811432,Ejercicio 1
0.134,0.002723033,-0.08645031,-0.00590371,0,0,0,0,0,0,0,-8.001489000000001e-06,1.027195e-11,-1.250689e-07,0,0,0,0.0009827029599707,Ejercicio 1
0.135,0.002723033,-0.08645031,-0.00590371,0,0,0,0,0,0,0,-4.823335000000001e-08,0.0,-7.537344e-10,0,0,0,0.0009827029599707,Ejercicio 1
0.136,0.002723033,-0.08645031,-0.00590371,0,0,0,0,0,0,0,-7.581253e-10,0.0,-1.184709e-11,0,0,0,0.0009827029599707,Ejercicio 1
0.137,0.00265138,-0.08645031,-0.005904816,0,0,0,0,0,0,0,-0.003341488,0.0,-5.084252e-05,0,0,0,0.0009813654577443,Ejercicio 1
0.138,0.002508072,-0.08645031,-0.005906937,0,0,0,0,0,0,0,-0.009402589,0.0,-0.000135331,0,0,0,0.000979964507993,Ejercicio 1
0.139,0.002436418,-0.08645031,-0.005907954,0,0,0,0,0,0,0,-0.006526642,0.0,-9.125338e-05,0,0,0,0.000979964507993,Ejercicio 1
0.14,0.002436418,-0.08645031,-0.005907954,0,0,0,0,0,0,0,-5.415087e-05,0.0,-7.571197e-07,0,0,0,0.0009827029599707,Ejercicio 1
0.141,0.002436322,-0.08639634,-0.005901102,0,0,0,0,0,0,0,-1.770203e-05,0.00960925,0.001221853,0,0,0,0.0009809258560489,Ejercicio 1
0.142,0.002436322,-0.08639634,-0.005901102,0,0,0,0,0,0,0,-1.468719e-07,7.972694e-05,1.013759e-05,0,0,0,0.000982123075584,Ejercicio 1
0.143,0.002293017,-0.08639634,-0.005903046,0,0,0,0,0,0,0,-0.01715508,6.614861e-07,-0.0002256617,0,0,0,0.0009781887738264,Ejercicio 1
0.144,0.002221364,-0.08639634,-0.005903974,0,0,0,0,0,0,0,-0.002616901,5.488281e-09,-3.335918e-05,0,0,0,0.0009806153702568,Ejercicio 1
